id,code
0,"boolean isBinaryFile ( File f ) throws FileNotFoundException , IOException { FileInputStream in = new FileInputStream ( f ) ; int size = in . available ( ) ; if ( size > 1024 ) size = 1024 ; byte [ ] data = new byte [ size ] ; in . read ( data ) ; in . close ( ) ; int ascii = 0 ; int other = 0 ; for ( int i = 0 ; i < data . length ; i ++ ) { byte b = data [ i ] ; if ( b < 0x09 ) return true ; if ( b == 0x09 || b == 0x0A || b == 0x0C || b == 0x0D ) ascii ++ ; else if ( b >= 0x20 && b <= 0x7E ) ascii ++ ; else other ++ ; } if ( other == 0 ) return false ; return 100 * other / ( ascii + other ) > 95 ; }"
1,"boolean isBinaryFile ( File f ) throws IOException { String type = Files . probeContentType ( f . toPath ( ) ) ; if ( type == null ) { return true ; } else if ( type . startsWith ( ""text"" ) ) { return false ; } else { return true ; } }"
2,Comparable [ ] findCommonElements ( ) { Set < Comparable > collectionSet1 = new HashSet < > ( Arrays . asList ( collection1 ) ) ; Set < Comparable > collectionSet2 = new HashSet < > ( Arrays . asList ( collection2 ) ) ; for ( Comparable x : collectionSet1 ) { if ( ! collectionSet2 . add ( x ) ) { commonStuff . add ( x ) ; } } return commonStuff . toArray ( ) ; }
3,"Comparable [ ] findCommonElements ( Comparable [ ] [ ] collections ) { Comparable [ ] arr1 = collections [ 0 ] ; Comparable [ ] arr2 = collections [ 1 ] ; Comparable [ ] arr3 = collections [ 2 ] ; if ( arr1 . length < arr2 . length && arr1 . length < arr3 . length || arr2 . length <= arr3 . length ) { hashArray = arr1 ; queryArray = ArrayUtils . addAll ( arr2 , arr3 ) ; } else if ( arr2 . length < arr1 . length && arr2 . length < arr3 . length || arr1 . length <= arr3 . length ) { hashArray = arr2 ; queryArray = ArrayUtils . addAll ( arr1 , arr3 ) ; } else if ( arr3 . length < arr1 . length && arr3 . length < arr2 . length || arr1 . length <= arr2 . length ) { hashArray = arr3 ; queryArray = ArrayUtils . addAll ( arr1 , arr2 ) ; } HashSet < Comparable > intersectionSet = new HashSet < > ( ) ; HashSet < Comparable > arrayToHash = new HashSet < > ( ) ; for ( Comparable element : hashArray ) { arrayToHash . add ( element ) ; } for ( Comparable element : queryArray ) { if ( element != null ) { comparisons ++ ; } if ( arrayToHash . contains ( element ) ) { intersectionSet . add ( element ) ; } } return intersectionSet . toArray ( new Comparable [ 0 ] ) ; }"
4,"void start ( Stage stage ) { final HTMLEditor htmlEditor = new HTMLEditor ( ) ; stage . setScene ( new Scene ( htmlEditor ) ) ; stage . show ( ) ; hideImageNodesMatching ( htmlEditor , Pattern . compile ( "".*(Cut|Copy|Paste).*"" ) , 0 ) ; Node seperator = htmlEditor . lookup ( "".separator"" ) ; seperator . setVisible ( false ) ; seperator . setManaged ( false ) ; }"
5,"void start ( Stage primaryStage ) { final HTMLEditor htmlEditor = new HTMLEditor ( ) ; primaryStage . setScene ( new Scene ( htmlEditor ) ) ; primaryStage . show ( ) ; for ( Node toolBar = htmlEditor . lookup ( "".tool-bar"" ) ; toolBar != null ; toolBar = htmlEditor . lookup ( "".tool-bar"" ) ) { ( ( Pane ) toolBar . getParent ( ) ) . getChildren ( ) . remove ( toolBar ) ; } }"
6,"void main ( String [ ] args ) { String stmt = "" INSERT INTO `TABLENAME` VALUES(xxx,yyy,zzz),(aaa,'bb),(b',ccc),(aaa,bbb,ccc); "" ; System . out . printf ( ""%s\n"" , stmt ) ; stmt = stmt . split ( ""(?i)\\s+values\\s*\\(|\\);"" ) [ 1 ] ; System . out . printf ( ""values list: %s\n"" , stmt ) ; Matcher m = Pattern . compile ( ""('\\w*)(\\)\\,\\()+(\\w*')"" ) . matcher ( stmt ) ; while ( m . find ( ) ) { stmt = stmt . substring ( 0 , m . start ( 2 ) ) + ""###"" + stmt . substring ( m . end ( 2 ) , stmt . length ( ) ) ; System . out . printf ( ""values list with pattern subst inside char literal: %s\n"" , stmt ) ; } String [ ] multiValues = stmt . split ( ""\\)\\,\\("" ) ; for ( int i = 0 ; i < multiValues . length ; i ++ ) { multiValues [ i ] = multiValues [ i ] . replaceAll ( ""###"" , ""),("" ) ; } System . out . println ( Arrays . toString ( multiValues ) ) ; }"
7,"void main ( String [ ] args ) { Test t = new Test ( ) ; String [ ] allQueryStrings = new String [ ] { ""INSERT INTO `TABLENAME` VALUES(xxx,yyy,zzz);"" , ""INSERT INTO `TABLENAME` VALUES(xxx,yyy,zzz),(aaa,bbb,ccc);"" , ""INSERT INTO `TABLENAME` VALUES(xxx,yyy,zzz),(aaa,'bb(,)b',ccc);"" , ""INSERT INTO `TABLENAME` VALUES(xxx,yyy,zzz),(aaa,'bb),(b',ccc);"" } ; for ( String queryString : allQueryStrings ) { System . out . println ( queryString ) ; for ( String values : t . extractValues ( queryString ) ) { System . out . println ( values ) ; } } }"
8,"void main ( String [ ] args ) { String string = ""check duplicate charcters in string"" ; string = string . toLowerCase ( ) ; char [ ] charAr = string . toCharArray ( ) ; Arrays . sort ( charAr ) ; for ( int i = 1 ; i < charAr . length ; ) { int count = recursiveMethod ( charAr , i , 1 ) ; if ( count > 1 ) { System . out . println ( ""'"" + charAr [ i ] + ""' comes "" + count + "" times"" ) ; i = i + count ; } else i ++ ; } }"
9,"void main ( String [ ] args ) { String test = ""The quick brown fox jumped over the lazy dog."" ; int countA = 0 , countO = 0 , countSpace = 0 , countDot = 0 ; for ( int i = 0 ; i < test . length ( ) ; i ++ ) { switch ( test . charAt ( i ) ) { case 'a' : case 'A' : countA ++ ; break ; case 'o' : case 'O' : countO ++ ; break ; case ' ' : countSpace ++ ; break ; case '.' : countDot ++ ; break ; } } System . out . printf ( ""%s%d%n%s%d%n%s%d%n%s%d"" , ""A: "" , countA , ""O: "" , countO , ""Space: "" , countSpace , ""Dot: "" , countDot ) ; }"
